wine,1,['Blood and Wine']
zan,1,['Roozi ke zan shodam']
dreamed,1,['I Dreamed of Africa']
school:,1,['Middle School: The Worst Years of My Life']
xi,2,"['Xi you ji: Da nao tian gong', 'Dong gong xi gong']"
virgen,1,['La virgen de los sicarios']
fidelity,1,['High Fidelity']
bringing,2,"['Bringing Down the House', 'Bringing Out the Dead']"
fix,1,['The Yes Men Fix the World']
striking,1,['Striking Distance']
shawshank,1,['The Shawshank Redemption']
survivors,1,['Soul Survivors']
fia,1,['Saul fia']
hidden,2,"['Hidden Figures', 'Crouching Tiger, Hidden Dragon']"
kochadaiiyaan,1,['Kochadaiiyaan']
incendies,1,['Incendies']
lambert,1,['Lambert & Stamp']
slate,1,['Clean Slate']
effects,2,"['Side Effects', 'Shaadi Ke Side Effects']"
silver,3,"['Silver Linings Playbook', 'Fantastic Four: Rise of the Silver Surfer', 'Silver City']"
scholar,1,['Road Scholar']
l'ultimo,1,"[""L'ultimo bacio""]"
debut,1,['The Debut']
spotless,1,['Eternal Sunshine of the Spotless Mind']
lockout,1,['Lockout']
arrow,1,['Broken Arrow']
ingrid,1,['Jag \xc3\xa4r Ingrid']
addicted,2,"['Addicted', 'Addicted to Love']"
volcano,1,['Volcano']
winterbourne,1,['Mrs. Winterbourne']
snakes,1,['Snakes on a Plane']
knockout,1,['Knockout']
series,3,"['Batman: The Animated Series', 'Series 7: The Contenders', 'A Series of Unfortunate Events']"
spider,2,"['Spider', 'Along Came a Spider']"
folie...,1,['\xc3\x80 la folie... pas du tout']
marwencol,1,['Marwencol']
truman,1,['The Truman Show']
message,1,['Message in a Bottle']
whip,1,['Whip It']
ru,1,['Wei ai zhi jian ru jia jing']
rv,1,['RV']
h20:,1,['Halloween H20: 20 Years Later']
ra,1,['Ta Ra Rum Pum']
dracula,3,"['Dracula', 'Dracula Untold', 'Dracula 2000']"
fugitive,2,"['Fugitive Pieces', 'The Fugitive']"
grapes,1,['Sour Grapes']
mobsters,1,['Mobsters and Mormons']
metallica,1,['Metallica Through the Never']
guardians:,1,"[""Legend of the Guardians: The Owls of Ga'Hoole""]"
atl,1,['ATL']
heading,1,['Heading South']
iceman,1,['The Iceman']
today's,1,"[""Today's Special""]"
mademoiselle,1,['Mademoiselle Chambon']
elmo,1,['The Adventures of Elmo in Grouchland']
wash,1,['The Wash']
millers,1,"[""We're the Millers""]"
174,1,['\xc3\x94nibus 174']
xia,1,['Xia Luo Te Fan Nao']
basketball,2,"['The Basketball Diaries', 'Love & Basketball']"
semi-pro,1,['Semi-Pro']
service,1,['Kingsman: The Secret Service']
lego,1,['The Lego Movie']
léon:,1,['L\xc3\xa9on: The Professional']
engagement,4,"['The Princess Diaries 2: Royal Engagement', 'A Very Long Engagement', 'The Five-Year Engagement', 'Rules of Engagement']"
tango,5,"['Assassination Tango', 'The Tango Lesson', 'Whiskey Tango Foxtrot', 'Tango', 'Three to Tango']"
neuk-dae-so-nyeon,1,['Neuk-dae-so-nyeon']
master,5,"['The Legend of Drunken Master', 'Master', 'Master and Commander: The Far Side of the World', 'The Master', 'The Master of Disguise']"
xiu,1,['Xiu Xiu: The Sent-Down Girl']
gilbert,1,"[""What's Eating Gilbert Grape""]"
bitter,1,['Bitter Moon']
listen,1,['Listen to Me Marlon']
danish,1,['The Danish Girl']
pagemaster,1,['The Pagemaster']
visiteurs,2,"['Les couloirs du temps: Les visiteurs II', 'Les visiteurs']"
bounty,1,['The Bounty Hunter']
japanese,1,['Japanese Story']
gukjesijang,1,['Gukjesijang']
trek,3,"['Star Trek Beyond', 'Star Trek Into Darkness', 'Star Trek']"
zatoichi,1,['The Blind Swordsman: Zatoichi']
coward,1,['The Assassination of Jesse James by the Coward Robert Ford']
tree,2,"['The Education of Little Tree', 'The Tree of Life']"
gator,1,['Stoked: The Rise and Fall of Gator']
project,4,"['Project Almanac', 'The Blair Witch Project', 'Project X', 'Project Nim']"
idle,1,['Idle Hands']
faubourg,1,['Faubourg 36']
feeling,2,"['Feeling Minnesota', 'That Old Feeling']"
goya,1,['Goya in Bordeaux']
runner,4,"['Atanarjuat: The Fast Runner', 'The Kite Runner', 'Runner Runner', 'The Maze Runner']"
boston,1,['Still We Believe: The Boston Red Sox Movie']
iii,12,"['Return of the Living Dead III', 'Teenage Mutant Ninja Turtles III', 'The Hangover Part III', 'Aces: Iron Eagle III', 'Beverly Hills Cop III', 'Jurassic Park III', 'Mission: Impossible III', 'Star Wars: Episode III - Revenge of the Sith', 'Richard III', ""That's Entertainment! III"", 'Saw III', 'Les Boys III']"
dozen,2,"['Cheaper by the Dozen', 'Cheaper by the Dozen 2']"
cesar,1,['Cesar Chavez']
rudolph,1,['Rudolph the Red-Nosed Reindeer: The Movie']
divan,1,['Divan']
doors,1,['Sliding Doors']
season,4,"['Season of the Witch', 'Bee Season', 'Open Season', 'The Final Season']"
salaam-e-ishq,1,['Salaam-E-Ishq']
shall,3,"['Shall We Dance', 'Shall We Dance?', 'Shall We Kiss?']"
slumdog,1,['Slumdog Millionaire']
limitless,1,['Limitless']
victoria,1,['The Young Victoria']
swiss,1,['Swiss Army Man']
mouth,1,['In the Mouth of Madness']
addict,1,['Peggy Guggenheim: Art Addict']
letter,3,"['Chain Letter', 'The Love Letter', 'The Scarlet Letter']"
"fast,",1,"['Fast, Cheap & Out of Control']"
dnevnoy,1,['Dnevnoy dozor']
singer,1,['The Wedding Singer']
episode,4,"['Star Wars: Episode VII - The Force Awakens', 'Star Wars: Episode II - Attack of the Clones', 'Star Wars: Episode I - The Phantom Menace', 'Star Wars: Episode III - Revenge of the Sith']"
antitrust,1,['Antitrust']
affair:,1,['The Galapagos Affair: Satan Came to Eden']
jagten,1,['Jagten']
professor,2,"['The Nutty Professor', 'Nutty Professor II: The Klumps']"
camp,4,"['Camp Nowhere', 'Jesus Camp', 'Daddy Day Camp', 'Camp']"
scream,4,"['Scream 2', 'Scream 3', 'Scream', 'Scream 4']"
came,4,"['The Englishman Who Went Up a Hill But Came Down a Mountain', 'The Galapagos Affair: Satan Came to Eden', 'Along Came Polly', 'Along Came a Spider']"
boogie,1,['Boogie Nights']
terror:,1,['Power and Terror: Noam Chomsky in Our Times']
insects,1,['Angels and Insects']
nominated,4,"['The Oscar Nominated Short Films: Animation', 'The Oscar Nominated Short Films 2015: Animation', 'The Oscar Nominated Short Films 2016: Live Action', 'The Oscar Nominated Short Films 2013: Animation']"
hillbillies,1,['The Beverly Hillbillies']
lethal,2,"['Lethal Weapon 4', 'Lethal Weapon 3']"
lessons,2,"['Driving Lessons', 'The Fog of War: Eleven Lessons from the Life of Robert S. McNamara']"
orleans,1,['Bad Lieutenant: Port of Call New Orleans']
baby's,2,"[""Baby's Day Out"", ""My Baby's Daddy""]"
bliss,1,['Bliss']
touched,2,"['Touched with Fire', 'Hieronymus Bosch, Touched by the Devil']"
rich,3,"[""The Rich Man's Wife"", 'Rich in Love', ""Get Rich or Die Tryin'""]"
incredibles,1,['The Incredibles']
godzilla,3,"['Godzilla 2000', 'Godzilla', 'Shin Godzilla']"
danse,1,['La danse']
jaguar,1,['Aimee & Jaguar']
avenger,1,['Captain America: The First Avenger']
maverick,1,['Maverick']
Æon,1,['\xc3\x86on Flux']
patch,1,['Patch Adams']
"men,",1,"['Men, Women & Children']"
release,1,['Catch and Release']
diplomatie,1,['Diplomatie']
saul,1,['Saul fia']
blew,1,['Honey I Blew Up the Kid']
disaster,2,"['Disaster Movie', 'Flirting with Disaster']"
fair,2,"['Fair Game', 'Vanity Fair']"
dobara,1,['Zindagi Na Milegi Dobara']
goodnight,3,"['Goodnight Sweetheart', 'Goodnight Mommy', 'The Long Kiss Goodnight']"
geronimo:,1,['Geronimo: An American Legend']
nocturnal,1,['Nocturnal Animals']
hammer,2,"['Tetsuo II: Body Hammer', 'The Hammer']"
best,20,"[""Man's Best Friend"", 'The Best of Youth', 'Best in Show', ""My Best Friend's Wedding"", 'The Best Man Holiday', 'Best Man in Grass Creek', 'The Best Two Years', 'The Best Man', 'Best of Enemies', 'Best of the Best II', ""My Best Friend's Girl"", 'Wallace & Gromit: The Best of Aardman Animation', 'Second Best', 'Best Worst Thing That Ever Could Have Happened...', 'The Next Best Thing', 'The Second Best Exotic Marigold Hotel', 'Hannah Montana & Miley Cyrus: Best of Both Worlds Concert', 'The Best of Me', 'The Best Intentions', 'The Best Exotic Marigold Hotel']"
forrest,1,['Forrest Gump']
planes:,1,['Planes: Fire & Rescue']
score,2,"['The Score', 'The Perfect Score']"
prada,2,"['The Devil Wears Prada', 'From Prada to Nada']"
freejack,1,['Freejack']
pirate,1,['Pirate Radio']
men,31,"['Two Men Went to War', 'Repo Men', 'In the Company of Men', 'Children of Men', 'Men in Black', 'The Yes Men', 'Grumpier Old Men', 'Men in Black 3', 'The Company Men', 'Men with Guns', ""All the King's Men"", 'The Men Who Stare at Goats', 'Men with Brooms', 'Robin Hood: Men in Tights', 'Grumpy Old Men', 'Boys to Men', 'Mystery Men', 'Matchstick Men', 'Men of Honor', 'Simple Men', 'Middle Men', 'Of Mice and Men', 'A Few Good Men', ""White Men Can't Jump"", 'British Men Behaving Badly', 'The Yes Men Fix the World', 'Little Men', 'Men in Black II', 'The Monuments Men', 'No Country for Old Men', 'Soul Men']"
nature,3,"['Forces of Nature', 'Ace Ventura: When Nature Calls', 'Human Nature']"
jasmine,1,['Blue Jasmine']
stepmom,1,['Stepmom']
paddington,1,['Paddington']
medallion,1,['The Medallion']
defiance,1,['Defiance']
debt,2,"['Life and Debt', 'The Debt']"
planner,1,['The Wedding Planner']
veer,1,['Veer']
bachelorette,1,['Bachelorette']
country,12,"['Country Strong', 'Cry, the Beloved Country', 'North Country', 'The Country Bears', 'Town & Country', 'The Beautiful Country', 'In My Country', 'No Country for Old Men', 'The Run of the Country', 'The Hi-Lo Country', 'Country Life', 'Pure Country']"
damsels,1,['Damsels in Distress']
adventures,16,"['The Adventures of Priscilla, Queen of the Desert', 'Lois & Clark: The New Adventures of Superman', 'The Lost Medallion: The Adventures of Billy Stone', 'The Adventures of Brisco County Jr.', 'The Secret Adventures of Tom Thumb', 'The Adventures of Sharkboy and Lavagirl 3-D', 'The Adventures of Felix', 'The Adventures of Elmo in Grouchland', 'The Adventures of Rocky & Bullwinkle', 'The Adventures of Huck Finn', 'The Adventures of Pete & Pete', 'The Adventures of Pluto Nash', 'The Adventures of Sebastian Cole', 'The Adventures of Pinocchio', 'The Adventures of Tintin', 'Far from Home: The Adventures of Yellow Dog']"
edgar,1,['J. Edgar']
okoge,1,['Okoge']
newsies,1,['Newsies']
excited!,1,"[""I'm So Excited!""]"
2nd,1,"[""Beethoven's 2nd""]"
mcphee,2,"['Nanny McPhee', 'Nanny McPhee Returns']"
canyon,1,['Laurel Canyon']
parenti,1,['Parenti serpenti']
blonde,4,"[""La vengeance d'une blonde"", 'The Real Blonde', 'Legally Blonde', 'Legally Blonde 2: Red, White & Blonde']"
raavan,1,['Raavan']
fra,1,['Salmer fra kj\xc3\xb8kkenet']
union,1,['xXx: State of the Union']
much,2,"['Two Much', 'Much Ado About Nothing']"
adaptation.,1,['Adaptation.']
lamerica,1,['Lamerica']
jackass,2,"['Jackass 3D', 'Jackass Number Two']"
life,61,"['Life of Crime', 'A Slipping-Down Life', 'Sick: The Life & Death of Bob Flanagan, Supermasochist', 'The Wild Life', 'Genius Within: The Inner Life of Glenn Gould', 'Life and Debt', 'The Secret Life of Walter Mitty', 'Life of Pi', 'Gainsbourg: A Heroic Life', 'Ayn Rand: A Sense of Life', 'My Life So Far', 'After Life', 'Boys Life 3', 'Country Life', 'Middle School: The Worst Years of My Life', 'Life as We Know It', 'The Fog of War: Eleven Lessons from the Life of Robert S. McNamara', ""This Boy's Life"", 'An Unfinished Life', 'The Ultimate Life', 'A Better Life', 'Dan in Real Life', 'The Life and Times of Hank Greenberg', 'Train of Life', 'To Save a Life', 'Life as a House', 'My Life Without Me', 'The Odd Life of Timothy Green', 'The Life Before Her Eyes', 'Life Itself', 'Gonzo: The Life and Work of Dr. Hunter S. Thompson', 'The Secret Life of Bees', 'Proof of Life', 'Aileen: Life and Death of a Serial Killer', 'My Life', 'The Life Aquatic with Steve Zissou', 'Married Life', 'Awake: The Life of Yogananda', 'Waking Life', 'The Book of Life', 'My So-Called Life', 'The Tree of Life', ""A Bug's Life"", 'The Life and Times of Allen Ginsberg', 'The Secret Life of Pets', 'Boys Life 2', 'Homicide: Life on the Street', 'Larger Than Life', 'Life in a Day', 'This Is My Life', 'Larger Than Life in 3D', 'The Life of David Gale', 'Life with Mikey', 'Life During Wartime', 'My Life in Ruins', 'Life Is Beautiful', 'Life or Something Like It', 'A Life Less Ordinary', 'Life is to Whistle', 'Life', 'Lara Croft Tomb Raider: The Cradle of Life']"
crying,2,"['Crying Ladies', 'The Crying Game']"
café,2,"['Caf\xc3\xa9 Society', 'Caf\xc3\xa9 au lait']"
cung,1,['Cung on zo']
dave,4,"['Meet Dave', 'Dave', ""Dave Chappelle's Block Party"", 'Mike and Dave Need Wedding Dates']"
substance,1,['The Substance of Fire']
child,8,"['Unmistaken Child', 'Child 44', 'Martian Child', 'Dickie Roberts: Former Child Star', 'Bless the Child', 'Jean-Michel Basquiat: The Radiant Child', 'Obvious Child', 'Mother and Child']"
chill,1,['Chill Factor']
ant,1,['The Ant Bully']
gerhard,1,['Gerhard Richter - Painting']
tintin,1,['The Adventures of Tintin']
rent,1,['Rent']
beauté,1,['V\xc3\xa9nus beaut\xc3\xa9 (institut)']
played,3,"['The Greatest Game Ever Played', 'And the Band Played On', 'The Girl Who Played with Fire']"
stop-loss,1,['Stop-Loss']
player,2,"['How to Be a Player', 'The Player']"
violin,1,['The Red Violin']
mouvements,1,['Mouvements du d\xc3\xa9sir']
"said,",1,"[""God Said, 'Ha!'""]"
presque,1,['Un monde presque paisible']
vlemma,1,['To vlemma tou Odyssea']
shuang,1,['Pao Da Shuang Deng']
things,12,"[""Things to Do in Denver When You're Dead"", 'All Good Things', 'Very Bad Things', 'Wild Things', 'The Shape of Things', 'All Things Must Pass: The Rise and Fall of Tower Records', 'Dirty Pretty Things', '10 Things I Hate About You', 'Needful Things', 'Things We Lost in the Fire', 'Where the Wild Things Are', 'Bright Young Things']"
fluffer,1,['The Fluffer']
orgazmo,1,['Orgazmo']
harmony,1,['Amandla! A Revolution in Four Part Harmony']
babies,1,['Stolen Babies']
zoolander,2,"['Zoolander 2', 'Zoolander']"
european,1,['Deuce Bigalow: European Gigolo']
voyager,1,['Star Trek: Voyager']
boiled,1,['Hard Boiled']
ladro,1,['Il ladro di bambini']
boiler,1,['Boiler Room']
supper,1,['The Last Supper']
tuna,1,['Wasabi Tuna']
mentors,1,['Deceptive Practice: The Mysteries and Mentors of Ricky Jay']
jon,1,['Don Jon']
basquiat:,1,['Jean-Michel Basquiat: The Radiant Child']
unhook,1,['Unhook the Stars']
echoes,1,['Stir of Echoes']
lazer,1,['Lazer Team']
joshua,1,['Joshua']
gigolo,3,"['Fading Gigolo', 'Deuce Bigalow: European Gigolo', 'Deuce Bigalow: Male Gigolo']"
sleeps,1,['Wall Street: Money Never Sleeps']
sleepy,1,['Sleepy Hollow']
forsaken,1,['The Forsaken']
disguise,1,['The Master of Disguise']
redbelt,1,['Redbelt']
tomorrowland,1,['Tomorrowland']
godfathers,1,['Tokyo Godfathers']
hai,6,"['Hamara Dil Aapke Paas Hai', 'Jab Tak Hai Jaan', 'Yeh Jawaani Hai Deewani', 'Ae Dil Hai Mushkil', 'Phir Bhi Dil Hai Hindustani', 'Naam Hai Akira']"
broncos,1,['Gentlemen Broncos']
hal,1,['Shallow Hal']
deconstructing,1,['Deconstructing Harry']
woodstock,1,['Taking Woodstock']
ondine,1,['Ondine']
mcnamara,1,['The Fog of War: Eleven Lessons from the Life of Robert S. McNamara']
innocent,4,"['The Flight of the Innocent', 'Innocent Voices', 'The Innocent', 'Innocent Blood']"
prison,2,"[""Let's Go to Prison"", 'The Stanford Prison Experiment']"
duffel,1,['8 Heads in a Duffel Bag']
har,1,['Har Dil Jo Pyar Karega...']
east,3,"['The East', 'Wagons East', 'East Is East']"
hat,2,"['The Cat in the Hat', 'Fear of a Black Hat']"
hav,1,['Hav Plenty']
screamers,1,['Screamers']
guinevere,1,['Guinevere']
birth,2,"['The Birth of a Nation', 'Birth']"
shadow,8,"['Shadow Magic', 'Shadow of the Wolf', 'In the Shadow of the Moon', 'Jack Ryan: Shadow Recruit', 'Shadow of the Vampire', 'Shadow Conspiracy', 'The Shadow', 'Cyborg 2: Glass Shadow']"
desire,1,['Chain of Desire']
bobby,5,"['Bobby Jones: Stroke of Genius', 'Talladega Nights: The Ballad of Ricky Bobby', 'Bobby', 'A Love Song for Bobby Long', 'Searching for Bobby Fischer']"
alice,6,"['Alice Through the Looking Glass', 'Frankie & Alice', 'Still Alice', 'The Disappearance of Alice Creed', 'Alice in Wonderland', 'Alice et Martin']"
sebastian,1,['The Adventures of Sebastian Cole']
tron:,1,['Tron: Legacy']
battlefield,1,['Battlefield Earth']
right,2,"['Let the Right One In', 'The Kids Are All Right']"
old,11,"['My Old Lady', 'Old School', 'A Good Old Fashioned Orgy', 'Old Dogs', ""Kickin' It Old Skool"", 'No Country for Old Men', 'Old Fashioned', 'Old Joy', 'That Old Feeling', 'Grumpy Old Men', 'Grumpier Old Men']"
creek,4,"['Cold Creek Manor', 'Wolf Creek', 'Mean Creek', 'Best Man in Grass Creek']"
crowd,2,"['Far from the Madding Crowd', 'The In Crowd']"
people,13,"['Funny People', 'Sleeping with Other People', 'Dear White People', 'The People vs. Larry Flynt', 'Meeting People Is Easy', 'How to Lose Friends & Alienate People', 'Smart People', '24 Hour Party People', 'Beautiful People', 'Used People', 'People Like Us', 'People I Know', 'Games People Play: New York']"
creed,3,"[""Assassin's Creed"", 'The Disappearance of Alice Creed', 'Creed']"
crown,1,['The Thomas Crown Affair']
captive,1,['Captive']
"york,",1,"['New York, I Love You']"
enemies,2,"['Public Enemies', 'Best of Enemies']"
freakonomics,1,['Freakonomics']
fou,1,"[""L'amour fou""]"
housesitter,1,['HouseSitter']
daddy's,2,"[""Daddy's Little Girls"", ""Daddy's Home""]"
